, Maximo de coches calle maxima semaforo a la mitad    max_autos = 5000  longitud_total = 2000  posicion_semaforo = 1000.

ID,Entrada,Semaforo,Salida,Detenido,VelProm
# ESTADISTICAS_GENERALES
TiempoTotal,36720.85
VehiculosCreados,5000
VehiculosCompletados,5000
CiclosSemaforo,834
TiempoPromedio,245.27
VelocidadPromedio,8.29
TiempoDetenidoPromedio,32.85
Eficiencia,82.9
# DATOS_VEHICULOS
ID,Entrada,Semaforo,Salida,Detenido,VelProm
232,1657.00,1850.35,1951.90,97.60,6.78
233,1675.00,1858.60,1959.85,62.35,7.02
234,1678.00,1861.75,1962.95,68.95,7.02
235,1683.00,1869.10,1970.35,63.65,6.96
236,1689.00,1872.50,1973.70,79.10,7.02
237,1696.00,1877.05,1982.55,66.55,6.98
238,1702.00,1881.65,1986.10,60.00,7.04
239,1721.00,1893.50,1995.50,52.05,7.29
240,1724.00,1898.35,1999.65,41.35,7.26
241,1728.00,1901.40,2006.65,19.90,7.18
242,1736.00,1912.05,2013.25,45.20,7.21
243,1739.00,1915.25,2016.45,56.20,7.21
244,1742.00,1922.10,2027.60,73.10,7.00
245,1748.00,1926.75,2031.15,63.05,7.06
246,1767.00,1937.95,2039.70,54.70,7.33
247,1771.00,1941.05,2045.75,41.20,7.28
248,1776.00,1957.70,2058.95,70.95,7.07
249,1782.00,1963.90,2069.40,72.00,6.96
250,1785.00,1981.40,2083.45,82.25,6.70
251,1807.00,1984.50,2089.50,57.05,7.08
252,1810.00,1998.85,2100.10,70.45,6.89
253,1817.00,2002.40,2103.60,54.15,6.98
254,1821.00,2007.10,2112.60,52.45,6.86
255,1828.00,2011.60,2116.40,53.50,6.93
256,1834.00,2026.50,2128.00,78.75,6.80
257,1851.00,2031.15,2132.45,60.25,7.11
258,1854.00,2037.05,2139.10,46.75,7.02
259,1860.00,2042.15,2143.40,44.35,7.06
260,1866.00,2046.80,2148.00,45.45,7.09
261,1872.00,2050.95,2156.40,83.00,7.03
262,1875.00,2069.40,2171.45,90.85,6.75
263,1896.00,2074.70,2176.50,40.10,7.13
264,1899.00,2080.45,2182.45,51.25,7.06
265,1903.00,2084.10,2189.65,41.50,6.98
266,1910.00,2088.85,2193.50,44.65,7.05
267,1916.00,2113.40,2215.45,78.70,6.68
268,1919.00,2117.30,2218.65,93.40,6.67
269,1922.00,2121.35,2222.55,90.50,6.65
270,1941.00,2126.25,2227.50,70.45,6.98
271,1948.00,2131.10,2232.30,55.70,7.03
272,1951.00,2156.90,2259.30,93.55,6.49
273,1955.00,2162.50,2264.00,74.90,6.47
274,1962.00,2168.00,2269.30,83.50,6.51
275,1982.00,2171.75,2273.00,41.85,6.87
276,1985.00,2178.40,2279.65,77.85,6.79
277,1989.00,2181.55,2287.10,71.50,6.71
278,1996.00,2201.35,2303.40,82.20,6.51
279,2003.00,2205.40,2306.75,94.55,6.58
280,2006.00,2209.90,2311.10,82.15,6.56
