ID,Entrada,Semaforo,Salida,Detenido,VelProm
# ESTADISTICAS_GENERALES
TiempoTotal,37703.05
VehiculosCreados,5000
VehiculosCompletados,5000
CiclosSemaforo,856
TiempoPromedio,219.59
VelocidadPromedio,9.12
TiempoDetenidoPromedio,13.78
Eficiencia,91.2
# DATOS_VEHICULOS
ID,Entrada,Semaforo,Salida,Detenido,VelProm
335,2571.00,2599.40,2796.85,31.30,8.86
336,2577.00,2603.30,2800.75,25.80,8.94
337,2580.00,2606.80,2804.20,25.40,8.92
338,2598.00,2613.10,2810.50,3.10,9.41
339,2605.00,2617.55,2815.00,0.00,9.52
340,2610.00,2624.50,2826.00,0.80,9.26
341,2616.00,2640.90,2839.50,17.70,8.95
342,2620.00,2646.35,2843.75,30.10,8.94
343,2642.00,2653.30,2850.75,0.00,9.58
344,2645.00,2658.95,2856.35,0.00,9.46
345,2648.00,2662.85,2860.25,1.10,9.42
346,2656.00,2667.05,2868.70,0.00,9.40
347,2663.00,2686.20,2884.00,24.20,9.05
348,2666.00,2691.90,2889.40,22.70,8.95
349,2669.00,2695.15,2892.55,29.90,8.95
350,2687.00,2700.15,2897.55,0.00,9.50
351,2691.00,2703.50,2900.90,2.50,9.53
352,2699.00,2710.55,2912.00,0.00,9.39
353,2702.00,2729.05,2927.55,21.90,8.87
354,2706.00,2734.60,2932.25,20.60,8.84
355,2714.00,2739.35,2936.75,27.90,8.98
356,2731.00,2745.35,2942.80,0.00,9.44
357,2734.00,2750.15,2947.55,0.50,9.37
358,2740.00,2754.10,2955.80,0.30,9.27
359,2747.00,2775.40,2972.85,31.30,8.86
360,2753.00,2779.30,2976.75,25.80,8.94
361,2756.00,2782.80,2980.20,25.40,8.92
362,2774.00,2789.10,2986.50,3.10,9.41
363,2781.00,2793.55,2991.00,0.00,9.52
364,2786.00,2800.50,3002.00,0.80,9.26
365,2792.00,2816.90,3015.50,17.70,8.95
366,2796.00,2822.35,3019.75,30.10,8.94
367,2818.00,2829.30,3026.75,0.00,9.58
368,2821.00,2834.95,3032.35,0.00,9.46
369,2824.00,2838.85,3036.25,1.10,9.42
370,2832.00,2843.05,3044.70,0.00,9.40
371,2839.00,2862.20,3060.00,24.20,9.05
372,2842.00,2867.90,3065.40,22.70,8.95
373,2845.00,2871.15,3068.55,29.90,8.95
374,2863.00,2876.15,3073.55,0.00,9.50
